Timeline,Oxygen Consumption,Ammonia Nitrogen,PH,Dissolved Oxygen
30:00.0,5.1349,0.02,8.0691,5.8
00:00.0,5.807,0.02,8.1079,5.9703
30:00.0,5.8078,0.02,8.0326,6.2706
30:00.0,5.807,0.02,7.998,6.1453
00:00.0,5.8149,0.02,7.9383,6.1199
30:00.0,5.8153,0.02,7.9661,6.0945
00:00.0,5.816,0.02,7.9839,6.0473
30:00.0,5.8145,0.0214,8.0059,6.1206
00:00.0,6.2742,0.02,7.9647,6.1719
30:00.0,6.2742,0.02,7.8553,6.1958
00:00.0,6.275,0.02,7.8221,6.1711
30:00.0,6.2746,0.02,7.7443,6.1737
00:00.0,6.1549,0.0214,7.7303,6.1236
30:00.0,6.1545,0.02,7.6971,6.1479
00:00.0,6.1533,0.02,7.7262,5.8977
30:00.0,6.1537,0.0215,7.8215,6.1729
00:00.0,6.8293,0.02,7.7894,6.2721
30:00.0,6.8289,0.02,7.6817,6.2209
00:00.0,6.8281,0.02,7.6036,5.9449
30:00.0,6.8305,0.02,7.5459,6.0466
00:00.0,6.3386,0.02,7.5209,5.9954
30:00.0,6.3362,0.02,7.5308,5.9224
00:00.0,6.3386,0.02,7.5786,5.8497
30:00.0,6.3394,0.02,7.6319,6.0215
00:00.0,6.6004,0.0212,7.6388,5.9946
30:00.0,6.6004,0.02,7.5355,5.9707
00:00.0,6.5996,0.02,7.4986,5.7982
30:00.0,6.6,0.02,7.4684,5.8472
00:00.0,6.6946,0.02,7.453,5.8708
30:00.0,6.695,0.02,7.4335,5.8
00:00.0,6.6943,0.02,7.4143,5.7019
30:00.0,6.695,0.02,7.4093,5.7266
00:00.0,6.2428,0.02,7.4019,5.7001
30:00.0,6.2436,0.02,7.4047,5.6511
00:00.0,6.2436,0.02,7.411,5.5752
30:00.0,6.244,0.021,7.3849,5.6507
00:00.0,6.3229,0.02,7.372,5.6253
30:00.0,6.3225,0.0206,7.3513,5.6504
00:00.0,6.3233,0.02,7.314,5.5019
30:00.0,6.3221,0.02,7.284,5.5269
00:00.0,6.5211,0.02,7.2738,5.4783
30:00.0,6.52,0.0248,7.298,5.5026
00:00.0,6.5207,0.02,7.3145,5.3788
30:00.0,6.5211,0.0239,7.3178,5.5022
00:00.0,6.8607,0.02,7.3524,5.5745
30:00.0,6.8611,0.02,7.3659,5.5741
00:00.0,6.8603,0.02,7.3714,5.4543
30:00.0,6.8607,0.02,7.3953,5.5759
00:00.0,6.7178,0.02,7.3472,5.6773
30:00.0,6.7182,0.02,7.2991,5.7012
00:00.0,6.719,0.02,7.2953,5.5059
00:00.0,7.3907,0.02,7.666,5.7532
30:00.0,7.3915,0.02,7.3835,8.0765
00:00.0,7.3911,0.02,7.3928,6.3712
30:00.0,7.3911,0.02,7.5192,6.3952
00:00.0,5.8938,0.02,7.5891,6.4725
30:00.0,5.895,0.02,7.6047,6.5226
00:00.0,5.8946,0.02,7.577,6.4965
30:00.0,5.8938,0.0215,7.5563,6.4467
00:00.0,5.6092,0.02,7.5577,6.4213
30:00.0,5.6088,0.02,7.5566,6.3959
00:00.0,5.6088,0.02,7.544,6.3476
30:00.0,5.6084,0.02,7.5044,6.3487
00:00.0,5.4027,0.02,7.4541,6.3229
30:00.0,5.4023,0.0204,7.4143,6.3491
00:00.0,5.4031,0.02,7.3731,6.2735
30:00.0,5.4023,0.0294,7.3436,6.2477
00:00.0,5.9648,0.02,7.3074,6.1715
30:00.0,5.966,0.02,7.2997,6.0989
00:00.0,5.9652,0.02,7.2692,6.1236
30:00.0,5.9656,0.02,7.2021,6.0484
00:00.0,5.902,0.02,7.1834,5.9238
30:00.0,5.9032,0.025,7.1845,5.8501
00:00.0,5.9028,0.02,7.1829,5.8025
30:00.0,5.9028,0.02,7.1859,5.8261
00:00.0,6.0598,0.0373,7.1801,5.8011
30:00.0,6.0618,0.0396,7.1647,5.7742
00:00.0,6.0602,0.02,7.1645,5.7012
30:00.0,6.061,0.0299,7.2115,5.7288
00:00.0,6.054,0.0309,7.2038,5.8011
30:00.0,6.0536,0.02,7.1856,5.7281
00:00.0,6.0532,0.02,7.253,5.6762
30:00.0,6.0524,0.0233,7.3239,5.7502
00:00.0,5.7591,0.02,7.3082,5.7274
30:00.0,5.7607,0.02,7.2417,5.7001
00:00.0,5.7595,0.0317,7.1807,5.5999
30:00.0,5.7591,0.0204,7.1584,5.5262
00:00.0,5.5071,0.0263,7.1466,5.4793
30:00.0,5.5063,0.0314,7.1246,5.4528
00:00.0,5.5075,0.02,7.1057,5.3795
30:00.0,5.5071,0.02,7.104,5.3548
00:00.0,5.6092,0.0686,7.1013,5.3537
30:00.0,5.6096,0.0437,7.0996,5.4053
00:00.0,5.6092,0.0405,7.0985,5.3798
30:00.0,5.6092,0.0401,7.4503,5.4812
00:00.0,5.4973,0.0714,7.4255,5.7517
30:00.0,5.4984,0.0352,7.4316,5.8734
00:00.0,5.4981,0.0432,7.444,5.9965
30:00.0,5.4984,0.0659,7.4423,6.023
00:00.0,4.4609,0.0477,7.4376,6.0233
30:00.0,4.4605,0.0487,7.4371,6.0233
00:00.0,4.4609,0.0326,7.4247,6.0491
30:00.0,4.4616,0.0413,7.4343,6.0491
00:00.0,4.2394,0.0669,7.4426,6.0981
30:00.0,4.2394,0.0835,7.4418,6.1472
00:00.0,4.2398,0.0835,7.4222,6.1482
30:00.0,4.2398,0.0647,7.4151,6.1719
00:00.0,4.2398,0.0648,7.4011,6.1987
30:00.0,4.2398,0.0558,7.3986,6.1722
00:00.0,4.239,0.0676,7.3854,5.9492
30:00.0,4.2398,0.0354,7.3736,6.0731
00:00.0,3.9693,0.0522,7.3752,6.1464
30:00.0,3.9697,0.0789,7.3829,6.1475
00:00.0,3.9697,0.0811,7.4,6.096
30:00.0,3.9697,0.0636,7.4838,6.2209
00:00.0,4.0655,0.0487,7.5423,6.4177
30:00.0,4.0655,0.0962,7.575,6.4711
00:00.0,4.0659,0.0566,7.5624,6.4457
30:00.0,4.0651,0.0631,7.5371,6.4696
00:00.0,4.2877,0.0935,7.5014,6.4195
30:00.0,4.2869,0.0612,7.4767,6.3701
00:00.0,4.2885,0.0841,7.4577,6.2448
30:00.0,4.2873,0.0621,7.4357,6.2448
00:00.0,4.0734,0.0921,7.431,6.2198
30:00.0,4.0726,0.1073,7.4206,6.2448
00:00.0,4.0746,0.0952,7.4118,6.1453
30:00.0,4.073,0.1015,7.3909,6.17
00:00.0,3.9874,0.0789,7.3654,6.1715
30:00.0,3.987,0.0584,7.3579,6.0204
00:00.0,3.9866,0.0665,7.3568,5.9954
30:00.0,3.987,0.0594,7.3629,5.9965
00:00.0,3.8594,0.0516,7.3618,6.0437
30:00.0,3.8606,0.0748,7.3703,5.9957
00:00.0,3.8602,0.0642,7.3862,5.9449
30:00.0,3.8598,0.0568,7.3997,5.9714
00:00.0,3.8759,0.0896,7.4404,5.971
30:00.0,3.8751,0.0926,7.4637,5.995
00:00.0,3.8767,0.0834,7.4822,5.9957
30:00.0,3.8755,0.0913,7.5077,5.9699
00:00.0,3.9309,0.077,7.5217,6.0179
30:00.0,3.9313,0.0932,7.5217,6.0676
00:00.0,3.9309,0.0595,7.5717,5.9718
30:00.0,3.9313,0.02,7.6806,6.2445
00:00.0,4.113,0.0369,7.7454,6.2459
30:00.0,4.1126,0.0652,7.9809,6.2717
00:00.0,4.1134,0.0462,8.073,6.7198
30:00.0,4.113,0.0496,7.8163,6.8662
00:00.0,4.1134,0.0552,7.9133,8.4978
30:00.0,4.1134,0.0313,7.9155,7.1629
00:00.0,4.1126,0.0586,7.9331,7.1865
30:00.0,4.1138,0.0821,7.9504,7.2377
00:00.0,4.0106,0.0752,7.9573,7.2649
30:00.0,4.0102,0.0484,7.9675,7.3383
00:00.0,4.0098,0.0689,7.9796,7.3401
30:00.0,4.0098,0.0404,7.9746,7.4134
00:00.0,4.2147,0.0731,7.9927,7.3884
30:00.0,4.2151,0.0449,8.0054,7.4392
00:00.0,4.2159,0.0703,8.0068,7.4388
30:00.0,4.2151,0.0329,8.0156,7.4396
00:00.0,4.1758,0.0659,8.0169,7.4643
30:00.0,4.1758,0.0486,7.971,7.4617
00:00.0,4.1762,0.055,7.9128,7.3629
30:00.0,4.1758,0.0506,7.9334,7.2871
00:00.0,4.2002,0.0379,7.8834,7.4109
30:00.0,4.2006,0.0326,7.8323,7.311
00:00.0,4.1998,0.0416,7.8086,7.2362
30:00.0,4.1998,0.0538,7.7825,7.1607
00:00.0,4.2398,0.0405,7.7391,7.1106
30:00.0,4.2402,0.0382,7.7064,7.0136
00:00.0,4.2394,0.0716,7.7091,6.9119
30:00.0,4.2398,0.0685,7.7199,6.9366
00:00.0,4.2002,0.0594,7.627,6.9631
30:00.0,4.1998,0.0706,7.6676,6.8382
00:00.0,4.201,0.0724,7.7259,6.8647
30:00.0,4.2002,0.0511,7.7204,6.937
00:00.0,4.2948,0.0855,7.6237,6.8629
30:00.0,4.2944,0.054,7.5794,6.7162
00:00.0,4.2952,0.0492,7.569,6.6403
30:00.0,4.296,0.0778,7.5632,6.5677
00:00.0,4.265,0.0716,7.5544,6.5916
30:00.0,4.2646,0.0806,7.5107,6.5433
00:00.0,4.2642,0.0456,7.4591,6.494
30:00.0,4.2638,0.0431,7.4305,6.4667
00:00.0,4.082,0.0368,7.4052,6.4155
30:00.0,4.0812,0.0666,7.3865,6.4148
00:00.0,4.0816,0.0544,7.3626,6.3418
30:00.0,4.0816,0.0592,7.3423,6.2924
00:00.0,3.733,0.02,7.3291,6.316
30:00.0,3.733,0.02,7.3148,6.3186
00:00.0,3.7322,0.02,7.3079,6.3193
30:00.0,3.733,0.02,7.3241,6.3683
00:00.0,3.6298,0.02,7.3472,6.495
30:00.0,3.6298,0.02,7.3689,6.8171
00:00.0,3.6305,0.02,7.4077,6.8418
30:00.0,3.6294,0.02,7.4203,6.8894
00:00.0,4.0188,0.022,7.4368,6.8898
30:00.0,4.0184,0.02,7.4665,6.9141
00:00.0,4.0188,0.02,7.4898,6.8673
30:00.0,4.018,0.02,7.4808,6.9649
00:00.0,3.9305,0.02,7.4695,6.9642
30:00.0,3.9313,0.0203,7.4299,6.9413
00:00.0,3.9309,0.02,7.3799,6.8909
30:00.0,3.9309,0.02,7.3827,6.9649
00:00.0,4.263,0.02,7.3752,6.9381
30:00.0,4.2634,0.02,7.3785,6.9152
00:00.0,4.2626,0.02,7.3689,6.8658
30:00.0,4.2638,0.02,7.3703,6.8658
00:00.0,4.3823,0.02,7.3577,6.8909
30:00.0,4.3827,0.02,7.3469,6.8397
00:00.0,4.3827,0.02,7.3467,6.7914
30:00.0,4.3827,0.0217,7.3491,6.8415
00:00.0,4.5331,0.02,7.3483,6.8651
30:00.0,4.5327,0.0221,7.3483,6.8654
00:00.0,4.5331,0.0223,7.3335,6.8153
30:00.0,4.5323,0.02,7.3233,6.791
00:00.0,4.7627,0.02,7.3274,6.7917
30:00.0,4.7627,0.02,7.3469,6.8153
00:00.0,4.7624,0.02,7.3527,6.791
30:00.0,4.7627,0.02,7.3478,6.7899
00:00.0,4.8896,0.02,7.3467,6.7645
30:00.0,4.8899,0.02,7.348,6.742
00:00.0,4.8899,0.02,7.3384,6.7169
30:00.0,4.8896,0.02,7.3222,6.7162
00:00.0,4.6049,0.02,7.3222,6.6668
30:00.0,4.6041,0.02,7.3272,6.6664
00:00.0,4.6049,0.02,7.3244,6.6418
30:00.0,4.6041,0.0203,7.3142,6.6407
00:00.0,4.4224,0.02,7.3178,6.641
30:00.0,4.4224,0.02,7.3612,6.6403
00:00.0,4.422,0.02,7.3714,6.6174
30:00.0,4.4216,0.02,7.3527,6.6399
00:00.0,4.7384,0.02,7.3272,6.6407
30:00.0,4.7388,0.02,7.3384,6.6174
00:00.0,4.7392,0.02,7.3805,6.5913
30:00.0,4.7392,0.02,7.3802,6.6171
00:00.0,4.826,0.02,7.3475,6.6174
30:00.0,4.826,0.0223,7.3461,6.6149
00:00.0,4.8256,0.02,7.3524,6.6403
30:00.0,4.826,0.0224,7.3574,6.7155
00:00.0,5.4042,0.0222,7.3434,6.7652
30:00.0,5.4031,0.02,7.328,6.8142
00:00.0,5.4046,0.02,7.309,6.7659
30:00.0,5.4038,0.02,7.2837,6.8393
00:00.0,5.9111,0.02,7.3667,6.8142
30:00.0,5.9107,0.02,7.3414,6.8117
00:00.0,5.9103,0.02,7.3173,6.738
30:00.0,5.9122,0.02,7.3087,7.1324
00:00.0,8.6269,0.0581,7.2703,7.1098
30:00.0,8.6277,0.0696,7.2758,7.1098
30:00.0,8.6273,0.0484,7.2565,7.108
00:00.0,11.0421,0.0962,7.2596,7.0343
30:00.0,11.0429,0.063,7.2697,6.9824
00:00.0,11.0437,0.097,7.2596,6.9602
30:00.0,11.0433,0.0639,7.2741,7.0812
00:00.0,13.4274,0.0595,7.2843,7.059
30:00.0,13.4278,0.0932,7.2835,7.1581
00:00.0,13.4274,0.069,7.2689,7.059
30:00.0,13.4271,0.0561,7.2697,7.2075
00:00.0,15.3122,0.0573,7.2716,7.2083
30:00.0,15.3122,0.0753,7.2796,7.2315
00:00.0,15.3122,0.0672,7.2793,7.2569
30:00.0,15.3114,0.0452,7.289,7.2293
00:00.0,11.9859,0.0627,7.2846,7.1552
30:00.0,11.9859,0.0629,7.2978,7.1814
00:00.0,11.9867,0.0831,7.2892,7.083
30:00.0,11.9859,0.0585,7.2607,7.1567
00:00.0,10.3465,0.0443,7.2593,7.1055
30:00.0,10.3472,0.0694,7.2689,7.0797
00:00.0,10.3457,0.0502,7.27,7.0793
30:00.0,10.3465,0.0617,7.2749,7.0572
00:00.0,10.7579,0.0438,7.2785,7.0833
30:00.0,10.7583,0.0623,7.3079,7.0071
00:00.0,10.7583,0.0821,7.2925,7.0797
30:00.0,10.7583,0.0584,7.2986,7.0565
00:00.0,11.653,0.0725,7.298,7.0565
30:00.0,11.6534,0.0471,7.3071,7.0793
00:00.0,11.6541,0.0435,7.2986,7.0318
30:00.0,11.6534,0.0447,7.2835,7.0336
00:00.0,10.3465,0.0562,7.2785,7.031
30:00.0,10.3465,0.0508,7.2972,7.0307
00:00.0,10.3461,0.0474,7.2851,7.0071
30:00.0,10.3461,0.0807,7.2879,7.0071
00:00.0,9.5067,0.058,7.2892,7.0067
30:00.0,9.5079,0.02,7.7526,7.083
00:00.0,9.5079,0.02,7.8705,7.3564
30:00.0,9.5075,0.02,7.9141,7.6033
00:00.0,9.5071,0.02,7.3192,7.6513
30:00.0,9.5067,0.02,7.2947,7.4802
00:00.0,9.5063,0.02,7.2854,7.4795
30:00.0,9.5063,0.0224,7.2747,7.5049
00:00.0,4.8421,0.022,7.2744,7.4792
30:00.0,4.8421,0.02,7.2694,7.4577
00:00.0,4.8424,0.02,7.27,7.4316
30:00.0,4.8421,0.02,7.2694,7.4817
00:00.0,4.6756,0.02,7.2755,7.4563
30:00.0,4.6752,0.02,7.2758,7.457
00:00.0,4.6748,0.0217,7.2651,7.4309
30:00.0,4.6764,0.02,7.2464,7.3811
30:00.0,4.7706,0.02,7.2367,7.3317
00:00.0,4.771,0.02,7.2362,7.3346
30:00.0,4.7706,0.02,7.2466,7.3078
00:00.0,4.9606,0.02,7.2508,7.331
30:00.0,4.9606,0.02,7.256,7.356
00:00.0,4.961,0.0209,7.256,7.3553
30:00.0,4.9618,0.02,7.2557,7.3553
00:00.0,4.5331,0.02,7.2516,7.3088
30:00.0,4.5343,0.02,7.2458,7.3052
00:00.0,4.5339,0.0222,7.2411,7.2584
30:00.0,4.5335,0.02,7.2453,7.2573
00:00.0,4.4385,0.02,7.2414,7.2576
30:00.0,4.4377,0.02,7.2422,7.3048
00:00.0,4.4381,0.02,7.2417,7.2576
30:00.0,4.4385,0.0204,7.2406,7.2794
00:00.0,4.3596,0.02,7.2505,7.2569
30:00.0,4.3592,0.02,7.2409,7.307
00:00.0,4.3596,0.02,7.2367,7.2562
30:00.0,4.3584,0.02,7.2313,7.2319
00:00.0,4.5496,0.02,7.2214,7.2079
30:00.0,4.5488,0.02,7.2073,7.1807
00:00.0,4.5492,0.02,7.1972,7.0804
30:00.0,4.5496,0.0224,7.1985,7.0586
00:00.0,4.4538,0.02,7.1928,7.0815
30:00.0,4.4542,0.02,7.1928,7.0812
00:00.0,4.455,0.02,7.1895,7.083
30:00.0,4.4534,0.02,7.1974,7.0343
00:00.0,4.3745,0.02,7.2032,7.0314
30:00.0,4.3749,0.02,7.2024,7.0339
00:00.0,4.3753,0.02,7.1928,7.0085
30:00.0,4.3753,0.02,7.1988,6.9813
00:00.0,4.2634,0.02,7.204,7.0096
30:00.0,4.2642,0.02,7.2084,7.0336
00:00.0,4.2646,0.02,7.2029,7.0354
30:00.0,4.2634,0.02,7.1985,7.0358
00:00.0,4.2803,0.02,7.1942,6.9871
30:00.0,4.2799,0.02,7.2038,7.0125
00:00.0,4.2795,0.02,7.2098,7.01
30:00.0,4.2803,0.02,7.22,7.0626
00:00.0,4.3898,0.02,7.204,7.1109
00:00.0,4.3914,0.02,7.1851,7.0612
30:00.0,4.3906,0.02,7.176,6.9642
00:00.0,4.1609,0.02,7.1708,6.962
30:00.0,4.1609,0.02,7.1713,6.9399
00:00.0,4.1605,0.02,7.1601,6.937
30:00.0,4.1613,0.02,7.1557,6.9127
00:00.0,3.9941,0.02,7.1603,6.8389
30:00.0,3.9956,0.02,7.1609,6.8157
00:00.0,3.9945,0.02,7.1507,6.8375
30:00.0,3.9945,0.02,7.1463,6.8124
00:00.0,3.7974,0.02,7.1466,6.7917
30:00.0,3.797,0.02,7.1551,6.7402
00:00.0,3.7978,0.02,7.1645,6.7416
30:00.0,3.797,0.02,7.2126,6.7387
00:00.0,3.6855,0.02,7.2431,6.4936
30:00.0,3.6859,0.02,7.2749,6.4929
00:00.0,3.6863,0.02,7.2565,6.6174
30:00.0,3.6859,0.02,7.2461,6.6635
00:00.0,3.6863,0.0217,7.2362,6.5906
30:00.0,3.6855,0.02,7.2607,6.5401
00:00.0,3.6859,0.02,7.2464,6.6149
30:00.0,3.6867,0.02,7.2521,6.5909
00:00.0,3.6855,0.02,7.2323,6.6661
30:00.0,3.6855,0.02,7.2123,6.6138
00:00.0,3.6859,0.02,7.1887,6.564
30:00.0,3.6863,0.02,7.1691,6.5176
00:00.0,3.6855,0.02,7.1598,6.3894
30:00.0,3.6859,0.02,7.1557,6.316
00:00.0,3.6855,0.02,7.1494,6.3167
30:00.0,3.6863,0.0217,7.1408,6.3393
00:00.0,3.6863,0.02,7.1441,6.3411
30:00.0,3.6859,0.02,7.1458,6.3414
00:00.0,3.6863,0.02,7.1348,6.3389
30:00.0,3.6867,0.02,7.1304,6.3149
00:00.0,3.6863,0.02,7.1202,6.2645
30:00.0,3.6867,0.02,7.1208,6.2652
00:00.0,3.6863,0.02,7.1826,6.2401
30:00.0,3.6863,0.02,7.2263,6.4152
00:00.0,3.6871,0.02,7.2645,6.3886
30:00.0,3.6871,0.02,7.289,6.5404
00:00.0,3.6863,0.0204,7.2859,6.5644
30:00.0,3.6867,0.02,7.2708,6.5415
00:00.0,3.2976,0.0204,7.27,6.494
30:00.0,3.298,0.02,7.2857,6.5426
00:00.0,3.2984,0.02,7.2747,6.6414
30:00.0,3.2976,0.02,7.295,6.4914
00:00.0,3.2105,0.0224,7.2991,6.5157
30:00.0,3.2101,0.02,7.2903,6.5157
00:00.0,3.2105,0.02,7.2898,6.5161
30:00.0,3.212,0.0219,7.2939,6.519
00:00.0,4.6038,0.02,7.3192,6.4689
30:00.0,4.6045,0.02,7.2705,6.5408
00:00.0,4.6049,0.02,7.2659,6.4424
30:00.0,4.6049,0.0221,7.242,6.4689
00:00.0,4.6049,0.02,7.8122,6.6428
00:00.0,4.6041,0.02,7.8171,7.6774
30:00.0,4.6041,0.02,7.8364,7.599
00:00.0,4.6045,0.02,7.8666,7.879
30:00.0,4.6045,0.02,7.8268,7.8525
00:00.0,4.6049,0.02,7.5698,8.3456
30:00.0,4.6049,0.02,7.5319,7.1334
00:00.0,4.6045,0.02,7.4926,7.1091
30:00.0,4.6049,0.02,7.4789,7.1327
00:00.0,4.6041,0.02,7.4547,7.1574
30:00.0,4.6041,0.02,7.4242,7.1589
00:00.0,3.5917,0.02,7.4209,7.1592
30:00.0,3.5909,0.0214,7.4159,7.1578
00:00.0,3.5909,0.02,7.3997,7.1324
30:00.0,3.5917,0.02,7.3857,7.0841
00:00.0,3.3926,0.02,7.3621,7.0361
30:00.0,3.3934,0.02,7.3483,6.9856
00:00.0,3.3934,0.02,7.3387,6.8861
30:00.0,3.3922,0.02,7.3327,6.8869
00:00.0,3.3777,0.02,7.3329,6.888
30:00.0,3.3765,0.02,7.3423,6.8847
00:00.0,3.3765,0.02,7.3332,6.8604
30:00.0,3.3773,0.02,7.3291,6.8618
00:00.0,3.2894,0.02,7.3236,6.8368
30:00.0,3.2906,0.0201,7.3277,6.8389
00:00.0,3.2902,0.02,7.3134,6.8357
30:00.0,3.2898,0.02,7.3096,6.7899
00:00.0,3.2972,0.02,7.303,6.787
30:00.0,3.298,0.0221,7.3027,6.7402
00:00.0,3.298,0.02,7.2931,6.7402
30:00.0,3.2988,0.0218,7.3038,6.7387
00:00.0,3.3691,0.02,7.3087,6.7627
30:00.0,3.3695,0.02,7.3327,6.8146
00:00.0,3.3703,0.02,7.3329,6.9123
30:00.0,3.3683,0.0202,7.3332,6.9352
00:00.0,3.3389,0.02,7.325,6.9373
30:00.0,3.3373,0.02,7.3335,6.9127
00:00.0,3.3373,0.02,7.339,6.9152
30:00.0,3.3385,0.02,7.3384,6.9403
00:00.0,3.3141,0.02,7.3403,6.9392
30:00.0,3.3137,0.02,7.3491,6.9392
00:00.0,3.3133,0.02,7.353,6.9646
30:00.0,3.3137,0.02,7.35,6.9639
00:00.0,3.393,0.0223,7.3439,6.9406
30:00.0,3.3926,0.02,7.3453,6.9148
00:00.0,3.393,0.02,7.3305,6.9163
30:00.0,3.393,0.02,7.3247,6.8673
00:00.0,3.2419,0.02,7.3219,6.8676
00:00.0,3.2423,0.02,7.317,6.8444
30:00.0,3.2529,0.02,7.3096,6.8433
