Timeline,Oxygen Consumption,Ammonia Nitrogen,PH,Dissolved Oxygen
2012-08-01 21:30:00.0,7.3267,0.02,8.2516,5.4568
2012-08-01 22:00:00.0,7.3271,0.0212,8.1931,5.2843
2012-08-01 22:30:00.0,7.3275,0.02,8.1403,5.236
2012-08-01 23:00:00.0,6.1788,0.02,8.076,5.1598
2012-08-01 23:30:00.0,6.1792,0.0223,8.0455,5.085
2012-08-02 00:00:00.0,6.1788,0.02,8.0276,4.9858
2012-08-02 00:30:00.0,6.1792,0.4915,7.9894,5.1097
2012-08-02 01:00:00.0,5.6798,0.02,7.9716,5.036
2012-08-02 01:30:00.0,5.6806,0.02,7.9611,4.9633
2012-08-02 02:00:00.0,5.681,0.02,7.9218,4.8627
2012-08-02 02:30:00.0,5.681,0.3855,7.8606,4.8373
2012-08-02 03:00:00.0,5.1341,0.3905,7.7979,4.7367
2012-08-02 03:30:00.0,5.1341,0.3598,7.7506,4.6539
2012-08-02 04:00:00.0,5.1337,0.02,7.6905,4.5392
2012-08-02 04:30:00.0,5.1345,0.02,7.6311,4.5664
2012-08-02 05:00:00.0,5.3559,0.02,7.5984,4.5406
2012-08-02 05:30:00.0,5.3559,0.0204,7.5973,4.4923
2012-08-02 06:00:00.0,5.3567,0.0218,7.5956,4.3692
2012-08-02 06:30:00.0,5.3552,0.02,7.5767,4.4426
2012-08-02 07:00:00.0,5.2362,0.02,7.5421,4.4905
2012-08-02 07:30:00.0,5.237,0.02,7.5531,4.4923
2012-08-02 08:00:00.0,5.237,0.02,7.5929,4.4658
2012-08-02 08:30:00.0,5.237,0.02,7.5907,4.5904
2012-08-02 09:00:00.0,5.3791,0.02,8.5053,4.6409
2012-08-02 09:30:00.0,5.3795,0.02,8.4228,6.2467
2012-08-02 10:30:00.0,5.3795,0.02,8.4173,6.2979
2012-08-02 11:00:00.0,5.3555,0.02,8.4132,6.3204
2012-08-02 11:30:00.0,5.3555,0.0214,8.4934,6.3719
2012-08-02 12:00:00.0,5.3563,0.02,8.3516,6.3469
2012-08-02 12:30:00.0,5.3563,0.02,8.2687,6.3454
2012-08-02 13:00:00.0,5.7046,0.02,8.2692,6.3222
2012-08-02 13:30:00.0,5.7046,0.0235,8.3261,6.3215
2012-08-02 14:00:00.0,5.7046,0.02,8.2838,6.2997
2012-08-02 14:30:00.0,5.7046,0.02,8.2697,6.3716
2012-08-02 15:00:00.0,6.3857,0.02,8.2711,6.3712
2012-08-02 15:30:00.0,6.3849,0.02,8.2643,6.3959
2012-08-02 16:00:00.0,6.3853,0.02,8.1587,6.2724
2012-08-02 16:30:00.0,6.3857,0.02,8.1095,6.2732
2012-08-02 17:00:00.0,6.1784,0.0336,8.1145,6.2477
2012-08-02 17:30:00.0,6.1788,0.0724,8.1826,6.2728
2012-08-02 18:00:00.0,6.1804,0.0585,8.2054,6.348
2012-08-02 18:30:00.0,6.1792,0.02,8.2024,6.4467
2012-08-02 19:00:00.0,6.2432,0.02,8.2469,6.4471
2012-08-02 19:30:00.0,6.2428,0.02,8.2134,6.4449
2012-08-02 20:00:00.0,6.2424,0.02,8.1689,6.2459
2012-08-02 20:30:00.0,6.2424,0.02,8.1791,6.2456
2012-08-02 21:00:00.0,6.1317,0.073,8.2013,6.2728
2012-08-02 21:30:00.0,6.1321,0.0215,8.253,6.2979
2012-08-02 22:00:00.0,6.1325,0.02,8.2294,6.1722
2012-08-02 22:30:00.0,6.1321,0.02,8.2546,6.2477
2012-08-02 23:00:00.0,5.6323,0.02,8.2667,6.2448
2012-08-02 23:30:00.0,5.6331,0.02,8.2827,6.198
2012-08-03 00:00:00.0,5.6331,0.02,8.2145,6.1475
2012-08-03 00:30:00.0,5.6331,0.0215,8.1626,6.0734
2012-08-03 01:00:00.0,5.4349,0.0224,8.0865,6.0219
2012-08-03 01:30:00.0,5.4356,0.02,8.0722,5.9482
2012-08-03 02:00:00.0,5.4356,0.02,8.0123,5.898
2012-08-03 02:30:00.0,5.4352,0.02,7.937,5.7764
2012-08-03 03:00:00.0,5.3398,0.0776,7.9004,5.7027
2012-08-03 03:30:00.0,5.3398,0.02,7.8957,5.6271
2012-08-03 04:00:00.0,5.3398,0.02,7.8345,5.5756
2012-08-03 04:30:00.0,5.3402,0.02,7.8152,5.5531
2012-08-03 05:00:00.0,5.6182,0.0242,7.8985,5.5534
2012-08-03 05:30:00.0,5.617,0.02,8.0889,5.6504
2012-08-03 06:00:00.0,5.6166,0.0264,8.1337,5.7256
2012-08-03 06:30:00.0,5.617,0.0347,8.0727,5.8501
2012-08-03 07:00:00.0,5.1341,0.02,7.9133,5.8018
2012-08-03 07:30:00.0,5.1341,0.02,7.8507,5.7038
2012-08-03 08:00:00.0,5.1345,0.02,7.8834,5.7277
2012-08-03 08:30:00.0,5.1349,0.02,8.0691,5.8
2012-08-03 09:00:00.0,5.807,0.02,8.1079,5.9703
2012-08-03 09:30:00.0,5.8078,0.02,8.0326,6.2706
2012-08-03 10:30:00.0,5.807,0.02,7.998,6.1453
2012-08-03 11:00:00.0,5.8149,0.02,7.9383,6.1199
2012-08-03 11:30:00.0,5.8153,0.02,7.9661,6.0945
2012-08-03 12:00:00.0,5.816,0.02,7.9839,6.0473
2012-08-03 12:30:00.0,5.8145,0.0214,8.0059,6.1206
2012-08-03 13:00:00.0,6.2742,0.02,7.9647,6.1719
2012-08-03 13:30:00.0,6.2742,0.02,7.8553,6.1958
2012-08-03 14:00:00.0,6.275,0.02,7.8221,6.1711
2012-08-03 14:30:00.0,6.2746,0.02,7.7443,6.1737
2012-08-03 15:00:00.0,6.1549,0.0214,7.7303,6.1236
2012-08-03 15:30:00.0,6.1545,0.02,7.6971,6.1479
2012-08-03 16:00:00.0,6.1533,0.02,7.7262,5.8977
2012-08-03 16:30:00.0,6.1537,0.0215,7.8215,6.1729
2012-08-03 17:00:00.0,6.8293,0.02,7.7894,6.2721
2012-08-03 17:30:00.0,6.8289,0.02,7.6817,6.2209
2012-08-03 18:00:00.0,6.8281,0.02,7.6036,5.9449
2012-08-03 18:30:00.0,6.8305,0.02,7.5459,6.0466
2012-08-03 19:00:00.0,6.3386,0.02,7.5209,5.9954
2012-08-03 19:30:00.0,6.3362,0.02,7.5308,5.9224
2012-08-03 20:00:00.0,6.3386,0.02,7.5786,5.8497
2012-08-03 20:30:00.0,6.3394,0.02,7.6319,6.0215
2012-08-03 21:00:00.0,6.6004,0.0212,7.6388,5.9946
2012-08-03 21:30:00.0,6.6004,0.02,7.5355,5.9707
2012-08-03 22:00:00.0,6.5996,0.02,7.4986,5.7982
2012-08-03 22:30:00.0,6.6,0.02,7.4684,5.8472
2012-08-03 23:00:00.0,6.6946,0.02,7.453,5.8708
2012-08-03 23:30:00.0,6.695,0.02,7.4335,5.8
2012-08-04 00:00:00.0,6.6943,0.02,7.4143,5.7019
2012-08-04 00:30:00.0,6.695,0.02,7.4093,5.7266
2012-08-04 01:00:00.0,6.2428,0.02,7.4019,5.7001
2012-08-04 01:30:00.0,6.2436,0.02,7.4047,5.6511
2012-08-04 02:00:00.0,6.2436,0.02,7.411,5.5752
2012-08-04 02:30:00.0,6.244,0.021,7.3849,5.6507
2012-08-04 03:00:00.0,6.3229,0.02,7.372,5.6253
2012-08-04 03:30:00.0,6.3225,0.0206,7.3513,5.6504
2012-08-04 04:00:00.0,6.3233,0.02,7.314,5.5019
2012-08-04 04:30:00.0,6.3221,0.02,7.284,5.5269
2012-08-04 05:00:00.0,6.5211,0.02,7.2738,5.4783
2012-08-04 05:30:00.0,6.52,0.0248,7.298,5.5026
2012-08-04 06:00:00.0,6.5207,0.02,7.3145,5.3788
2012-08-04 06:30:00.0,6.5211,0.0239,7.3178,5.5022
2012-08-04 07:00:00.0,6.8607,0.02,7.3524,5.5745
2012-08-04 07:30:00.0,6.8611,0.02,7.3659,5.5741
2012-08-04 08:00:00.0,6.8603,0.02,7.3714,5.4543
2012-08-04 08:30:00.0,6.8607,0.02,7.3953,5.5759
2012-08-04 09:00:00.0,6.7178,0.02,7.3472,5.6773
2012-08-04 09:30:00.0,6.7182,0.02,7.2991,5.7012
2012-08-04 10:00:00.0,6.719,0.02,7.2953,5.5059
2012-08-04 11:00:00.0,7.3907,0.02,7.666,5.7532
2012-08-04 11:30:00.0,7.3915,0.02,7.3835,8.0765
2012-08-04 12:00:00.0,7.3911,0.02,7.3928,6.3712
2012-08-04 12:30:00.0,7.3911,0.02,7.5192,6.3952
2012-08-04 13:00:00.0,5.8938,0.02,7.5891,6.4725
2012-08-04 13:30:00.0,5.895,0.02,7.6047,6.5226
2012-08-04 14:00:00.0,5.8946,0.02,7.577,6.4965
2012-08-04 14:30:00.0,5.8938,0.0215,7.5563,6.4467
2012-08-04 15:00:00.0,5.6092,0.02,7.5577,6.4213
2012-08-04 15:30:00.0,5.6088,0.02,7.5566,6.3959
2012-08-04 16:00:00.0,5.6088,0.02,7.544,6.3476
2012-08-04 16:30:00.0,5.6084,0.02,7.5044,6.3487
2012-08-04 17:00:00.0,5.4027,0.02,7.4541,6.3229
2012-08-04 17:30:00.0,5.4023,0.0204,7.4143,6.3491
2012-08-04 18:00:00.0,5.4031,0.02,7.3731,6.2735
2012-08-04 18:30:00.0,5.4023,0.0294,7.3436,6.2477
2012-08-04 19:00:00.0,5.9648,0.02,7.3074,6.1715
2012-08-04 19:30:00.0,5.966,0.02,7.2997,6.0989
2012-08-04 20:00:00.0,5.9652,0.02,7.2692,6.1236
2012-08-04 20:30:00.0,5.9656,0.02,7.2021,6.0484
2012-08-04 21:00:00.0,5.902,0.02,7.1834,5.9238
2012-08-04 21:30:00.0,5.9032,0.025,7.1845,5.8501
2012-08-04 22:00:00.0,5.9028,0.02,7.1829,5.8025
2012-08-04 22:30:00.0,5.9028,0.02,7.1859,5.8261
2012-08-04 23:00:00.0,6.0598,0.0373,7.1801,5.8011
2012-08-04 23:30:00.0,6.0618,0.0396,7.1647,5.7742
2012-08-05 00:00:00.0,6.0602,0.02,7.1645,5.7012
2012-08-05 00:30:00.0,6.061,0.0299,7.2115,5.7288
2012-08-05 01:00:00.0,6.054,0.0309,7.2038,5.8011
2012-08-05 01:30:00.0,6.0536,0.02,7.1856,5.7281
2012-08-05 02:00:00.0,6.0532,0.02,7.253,5.6762
2012-08-05 02:30:00.0,6.0524,0.0233,7.3239,5.7502
2012-08-05 03:00:00.0,5.7591,0.02,7.3082,5.7274
2012-08-05 03:30:00.0,5.7607,0.02,7.2417,5.7001
2012-08-05 04:00:00.0,5.7595,0.0317,7.1807,5.5999
2012-08-05 04:30:00.0,5.7591,0.0204,7.1584,5.5262
2012-08-05 05:00:00.0,5.5071,0.0263,7.1466,5.4793
2012-08-05 05:30:00.0,5.5063,0.0314,7.1246,5.4528
2012-08-05 06:00:00.0,5.5075,0.02,7.1057,5.3795
2012-08-05 06:30:00.0,5.5071,0.02,7.104,5.3548
2012-08-05 07:00:00.0,5.6092,0.0686,7.1013,5.3537
2012-08-05 07:30:00.0,5.6096,0.0437,7.0996,5.4053
2012-08-05 08:00:00.0,5.6092,0.0405,7.0985,5.3798
2012-08-05 08:30:00.0,5.6092,0.0401,7.4503,5.4812
2012-08-05 09:00:00.0,5.4973,0.0714,7.4255,5.7517
2012-08-05 09:30:00.0,5.4984,0.0352,7.4316,5.8734
2012-08-05 10:00:00.0,5.4981,0.0432,7.444,5.9965
2012-08-05 10:30:00.0,5.4984,0.0659,7.4423,6.023
2012-08-05 11:00:00.0,4.4609,0.0477,7.4376,6.0233
2012-08-05 11:30:00.0,4.4605,0.0487,7.4371,6.0233
2012-08-05 12:00:00.0,4.4609,0.0326,7.4247,6.0491
2012-08-05 12:30:00.0,4.4616,0.0413,7.4343,6.0491
2012-08-05 13:00:00.0,4.2394,0.0669,7.4426,6.0981
2012-08-05 13:30:00.0,4.2394,0.0835,7.4418,6.1472
2012-08-05 14:00:00.0,4.2398,0.0835,7.4222,6.1482
2012-08-05 14:30:00.0,4.2398,0.0647,7.4151,6.1719
2012-08-05 15:00:00.0,4.2398,0.0648,7.4011,6.1987
2012-08-05 15:30:00.0,4.2398,0.0558,7.3986,6.1722
2012-08-05 16:00:00.0,4.239,0.0676,7.3854,5.9492
2012-08-05 16:30:00.0,4.2398,0.0354,7.3736,6.0731
2012-08-05 17:00:00.0,3.9693,0.0522,7.3752,6.1464
2012-08-05 17:30:00.0,3.9697,0.0789,7.3829,6.1475
2012-08-05 18:00:00.0,3.9697,0.0811,7.4,6.096
2012-08-05 18:30:00.0,3.9697,0.0636,7.4838,6.2209
2012-08-05 19:00:00.0,4.0655,0.0487,7.5423,6.4177
2012-08-05 19:30:00.0,4.0655,0.0962,7.575,6.4711
2012-08-05 20:00:00.0,4.0659,0.0566,7.5624,6.4457
2012-08-05 20:30:00.0,4.0651,0.0631,7.5371,6.4696
2012-08-05 21:00:00.0,4.2877,0.0935,7.5014,6.4195
2012-08-05 21:30:00.0,4.2869,0.0612,7.4767,6.3701
2012-08-05 22:00:00.0,4.2885,0.0841,7.4577,6.2448
2012-08-05 22:30:00.0,4.2873,0.0621,7.4357,6.2448
2012-08-05 23:00:00.0,4.0734,0.0921,7.431,6.2198
2012-08-05 23:30:00.0,4.0726,0.1073,7.4206,6.2448
2012-08-06 00:00:00.0,4.0746,0.0952,7.4118,6.1453
2012-08-06 00:30:00.0,4.073,0.1015,7.3909,6.17
2012-08-06 01:00:00.0,3.9874,0.0789,7.3654,6.1715
2012-08-06 01:30:00.0,3.987,0.0584,7.3579,6.0204
2012-08-06 02:00:00.0,3.9866,0.0665,7.3568,5.9954
2012-08-06 02:30:00.0,3.987,0.0594,7.3629,5.9965
2012-08-06 03:00:00.0,3.8594,0.0516,7.3618,6.0437
2012-08-06 03:30:00.0,3.8606,0.0748,7.3703,5.9957
2012-08-06 04:00:00.0,3.8602,0.0642,7.3862,5.9449
2012-08-06 04:30:00.0,3.8598,0.0568,7.3997,5.9714
2012-08-06 05:00:00.0,3.8759,0.0896,7.4404,5.971
2012-08-06 05:30:00.0,3.8751,0.0926,7.4637,5.995
2012-08-06 06:00:00.0,3.8767,0.0834,7.4822,5.9957
2012-08-06 06:30:00.0,3.8755,0.0913,7.5077,5.9699
2012-08-06 07:00:00.0,3.9309,0.077,7.5217,6.0179
2012-08-06 07:30:00.0,3.9313,0.0932,7.5217,6.0676
2012-08-06 08:00:00.0,3.9309,0.0595,7.5717,5.9718
2012-08-06 08:30:00.0,3.9313,0.02,7.6806,6.2445
2012-08-06 09:00:00.0,4.113,0.0369,7.7454,6.2459
2012-08-06 09:30:00.0,4.1126,0.0652,7.9809,6.2717
2012-08-06 10:00:00.0,4.1134,0.0462,8.073,6.7198
2012-08-06 10:30:00.0,4.113,0.0496,7.8163,6.8662
2012-08-06 11:00:00.0,4.1134,0.0552,7.9133,8.4978
2012-08-06 11:30:00.0,4.1134,0.0313,7.9155,7.1629
2012-08-06 12:00:00.0,4.1126,0.0586,7.9331,7.1865
2012-08-06 12:30:00.0,4.1138,0.0821,7.9504,7.2377
2012-08-06 13:00:00.0,4.0106,0.0752,7.9573,7.2649
2012-08-06 13:30:00.0,4.0102,0.0484,7.9675,7.3383
2012-08-06 14:00:00.0,4.0098,0.0689,7.9796,7.3401
2012-08-06 14:30:00.0,4.0098,0.0404,7.9746,7.4134
2012-08-06 15:00:00.0,4.2147,0.0731,7.9927,7.3884
2012-08-06 15:30:00.0,4.2151,0.0449,8.0054,7.4392
2012-08-06 16:00:00.0,4.2159,0.0703,8.0068,7.4388
2012-08-06 16:30:00.0,4.2151,0.0329,8.0156,7.4396
2012-08-06 17:00:00.0,4.1758,0.0659,8.0169,7.4643
2012-08-06 17:30:00.0,4.1758,0.0486,7.971,7.4617
2012-08-06 18:00:00.0,4.1762,0.055,7.9128,7.3629
2012-08-06 18:30:00.0,4.1758,0.0506,7.9334,7.2871
2012-08-06 19:00:00.0,4.2002,0.0379,7.8834,7.4109
2012-08-06 19:30:00.0,4.2006,0.0326,7.8323,7.311
2012-08-06 20:00:00.0,4.1998,0.0416,7.8086,7.2362
2012-08-06 20:30:00.0,4.1998,0.0538,7.7825,7.1607
2012-08-06 21:00:00.0,4.2398,0.0405,7.7391,7.1106
2012-08-06 21:30:00.0,4.2402,0.0382,7.7064,7.0136
2012-08-06 22:00:00.0,4.2394,0.0716,7.7091,6.9119
2012-08-06 22:30:00.0,4.2398,0.0685,7.7199,6.9366
2012-08-06 23:00:00.0,4.2002,0.0594,7.627,6.9631
2012-08-06 23:30:00.0,4.1998,0.0706,7.6676,6.8382
2012-08-07 00:00:00.0,4.201,0.0724,7.7259,6.8647
2012-08-07 00:30:00.0,4.2002,0.0511,7.7204,6.937
2012-08-07 01:00:00.0,4.2948,0.0855,7.6237,6.8629
2012-08-07 01:30:00.0,4.2944,0.054,7.5794,6.7162
2012-08-07 02:00:00.0,4.2952,0.0492,7.569,6.6403
2012-08-07 02:30:00.0,4.296,0.0778,7.5632,6.5677
2012-08-07 03:00:00.0,4.265,0.0716,7.5544,6.5916
2012-08-07 03:30:00.0,4.2646,0.0806,7.5107,6.5433
2012-08-07 04:00:00.0,4.2642,0.0456,7.4591,6.494
2012-08-07 04:30:00.0,4.2638,0.0431,7.4305,6.4667
2012-08-07 05:00:00.0,4.082,0.0368,7.4052,6.4155
2012-08-07 05:30:00.0,4.0812,0.0666,7.3865,6.4148
2012-08-07 06:00:00.0,4.0816,0.0544,7.3626,6.3418
2012-08-07 06:30:00.0,4.0816,0.0592,7.3423,6.2924
2012-08-07 07:00:00.0,3.733,0.02,7.3291,6.316
2012-08-07 07:30:00.0,3.733,0.02,7.3148,6.3186
2012-08-07 08:00:00.0,3.7322,0.02,7.3079,6.3193
2012-08-07 08:30:00.0,3.733,0.02,7.3241,6.3683
2012-08-07 09:00:00.0,3.6298,0.02,7.3472,6.495
2012-08-07 09:30:00.0,3.6298,0.02,7.3689,6.8171
2012-08-07 10:00:00.0,3.6305,0.02,7.4077,6.8418
2012-08-07 10:30:00.0,3.6294,0.02,7.4203,6.8894
2012-08-07 11:00:00.0,4.0188,0.022,7.4368,6.8898
2012-08-07 11:30:00.0,4.0184,0.02,7.4665,6.9141
2012-08-07 12:00:00.0,4.0188,0.02,7.4898,6.8673
2012-08-07 12:30:00.0,4.018,0.02,7.4808,6.9649
2012-08-07 13:00:00.0,3.9305,0.02,7.4695,6.9642
2012-08-07 13:30:00.0,3.9313,0.0203,7.4299,6.9413
2012-08-07 14:00:00.0,3.9309,0.02,7.3799,6.8909
2012-08-07 14:30:00.0,3.9309,0.02,7.3827,6.9649
2012-08-07 15:00:00.0,4.263,0.02,7.3752,6.9381
2012-08-07 15:30:00.0,4.2634,0.02,7.3785,6.9152
2012-08-07 16:00:00.0,4.2626,0.02,7.3689,6.8658
2012-08-07 16:30:00.0,4.2638,0.02,7.3703,6.8658
2012-08-07 17:00:00.0,4.3823,0.02,7.3577,6.8909
2012-08-07 17:30:00.0,4.3827,0.02,7.3469,6.8397
2012-08-07 18:00:00.0,4.3827,0.02,7.3467,6.7914
2012-08-07 18:30:00.0,4.3827,0.0217,7.3491,6.8415
2012-08-07 19:00:00.0,4.5331,0.02,7.3483,6.8651
2012-08-07 19:30:00.0,4.5327,0.0221,7.3483,6.8654
2012-08-07 20:00:00.0,4.5331,0.0223,7.3335,6.8153
2012-08-07 20:30:00.0,4.5323,0.02,7.3233,6.791
2012-08-07 21:00:00.0,4.7627,0.02,7.3274,6.7917
2012-08-07 21:30:00.0,4.7627,0.02,7.3469,6.8153
2012-08-07 22:00:00.0,4.7624,0.02,7.3527,6.791
2012-08-07 22:30:00.0,4.7627,0.02,7.3478,6.7899
2012-08-07 23:00:00.0,4.8896,0.02,7.3467,6.7645
2012-08-07 23:30:00.0,4.8899,0.02,7.348,6.742
2012-08-08 00:00:00.0,4.8899,0.02,7.3384,6.7169
2012-08-08 00:30:00.0,4.8896,0.02,7.3222,6.7162
2012-08-08 01:00:00.0,4.6049,0.02,7.3222,6.6668
2012-08-08 01:30:00.0,4.6041,0.02,7.3272,6.6664
2012-08-08 02:00:00.0,4.6049,0.02,7.3244,6.6418
2012-08-08 02:30:00.0,4.6041,0.0203,7.3142,6.6407
2012-08-08 03:00:00.0,4.4224,0.02,7.3178,6.641
2012-08-08 03:30:00.0,4.4224,0.02,7.3612,6.6403
2012-08-08 04:00:00.0,4.422,0.02,7.3714,6.6174
2012-08-08 04:30:00.0,4.4216,0.02,7.3527,6.6399
2012-08-08 05:00:00.0,4.7384,0.02,7.3272,6.6407
2012-08-08 05:30:00.0,4.7388,0.02,7.3384,6.6174
2012-08-08 06:00:00.0,4.7392,0.02,7.3805,6.5913
2012-08-08 06:30:00.0,4.7392,0.02,7.3802,6.6171
2012-08-08 07:00:00.0,4.826,0.02,7.3475,6.6174
2012-08-08 07:30:00.0,4.826,0.0223,7.3461,6.6149
2012-08-08 08:00:00.0,4.8256,0.02,7.3524,6.6403
2012-08-08 08:30:00.0,4.826,0.0224,7.3574,6.7155
2012-08-08 09:00:00.0,5.4042,0.0222,7.3434,6.7652
2012-08-08 09:30:00.0,5.4031,0.02,7.328,6.8142
2012-08-08 10:00:00.0,5.4046,0.02,7.309,6.7659
2012-08-08 10:30:00.0,5.4038,0.02,7.2837,6.8393
2012-08-08 11:00:00.0,5.9111,0.02,7.3667,6.8142
2012-08-08 11:30:00.0,5.9107,0.02,7.3414,6.8117
2012-08-08 12:00:00.0,5.9103,0.02,7.3173,6.738
2012-08-08 12:30:00.0,5.9122,0.02,7.3087,7.1324
2012-08-08 13:00:00.0,8.6269,0.0581,7.2703,7.1098
2012-08-08 13:30:00.0,8.6277,0.0696,7.2758,7.1098
2012-08-08 14:30:00.0,8.6273,0.0484,7.2565,7.108
2012-08-08 15:00:00.0,11.0421,0.0962,7.2596,7.0343
2012-08-08 15:30:00.0,11.0429,0.063,7.2697,6.9824
2012-08-08 16:00:00.0,11.0437,0.097,7.2596,6.9602
2012-08-08 16:30:00.0,11.0433,0.0639,7.2741,7.0812
2012-08-08 17:00:00.0,13.4274,0.0595,7.2843,7.059
2012-08-08 17:30:00.0,13.4278,0.0932,7.2835,7.1581
2012-08-08 18:00:00.0,13.4274,0.069,7.2689,7.059
2012-08-08 18:30:00.0,13.4271,0.0561,7.2697,7.2075
2012-08-08 19:00:00.0,15.3122,0.0573,7.2716,7.2083
2012-08-08 19:30:00.0,15.3122,0.0753,7.2796,7.2315
2012-08-08 20:00:00.0,15.3122,0.0672,7.2793,7.2569
2012-08-08 20:30:00.0,15.3114,0.0452,7.289,7.2293
2012-08-08 21:00:00.0,11.9859,0.0627,7.2846,7.1552
2012-08-08 21:30:00.0,11.9859,0.0629,7.2978,7.1814
2012-08-08 22:00:00.0,11.9867,0.0831,7.2892,7.083
2012-08-08 22:30:00.0,11.9859,0.0585,7.2607,7.1567
2012-08-08 23:00:00.0,10.3465,0.0443,7.2593,7.1055
2012-08-08 23:30:00.0,10.3472,0.0694,7.2689,7.0797
2012-08-09 00:00:00.0,10.3457,0.0502,7.27,7.0793
2012-08-09 00:30:00.0,10.3465,0.0617,7.2749,7.0572
2012-08-09 01:00:00.0,10.7579,0.0438,7.2785,7.0833
2012-08-09 01:30:00.0,10.7583,0.0623,7.3079,7.0071
2012-08-09 02:00:00.0,10.7583,0.0821,7.2925,7.0797
2012-08-09 02:30:00.0,10.7583,0.0584,7.2986,7.0565
2012-08-09 03:00:00.0,11.653,0.0725,7.298,7.0565
2012-08-09 03:30:00.0,11.6534,0.0471,7.3071,7.0793
2012-08-09 04:00:00.0,11.6541,0.0435,7.2986,7.0318
2012-08-09 04:30:00.0,11.6534,0.0447,7.2835,7.0336
2012-08-09 05:00:00.0,10.3465,0.0562,7.2785,7.031
2012-08-09 05:30:00.0,10.3465,0.0508,7.2972,7.0307
2012-08-09 06:00:00.0,10.3461,0.0474,7.2851,7.0071
2012-08-09 06:30:00.0,10.3461,0.0807,7.2879,7.0071
2012-08-09 07:00:00.0,9.5067,0.058,7.2892,7.0067
2012-08-09 07:30:00.0,9.5079,0.02,7.7526,7.083
2012-08-09 08:00:00.0,9.5079,0.02,7.8705,7.3564
2012-08-09 08:30:00.0,9.5075,0.02,7.9141,7.6033
2012-08-09 09:00:00.0,9.5071,0.02,7.3192,7.6513
2012-08-09 09:30:00.0,9.5067,0.02,7.2947,7.4802
2012-08-09 10:00:00.0,9.5063,0.02,7.2854,7.4795
2012-08-09 10:30:00.0,9.5063,0.0224,7.2747,7.5049
2012-08-09 11:00:00.0,4.8421,0.022,7.2744,7.4792
2012-08-09 11:30:00.0,4.8421,0.02,7.2694,7.4577
2012-08-09 12:00:00.0,4.8424,0.02,7.27,7.4316
2012-08-09 12:30:00.0,4.8421,0.02,7.2694,7.4817
2012-08-09 13:00:00.0,4.6756,0.02,7.2755,7.4563
